term_id,concept_id,language_id,language_code,country_code,language_name,term_content,term_originator_reference,term_document_id,term_url,term_description,term_organization_id,term_organization_name,term_is_deprecated,concept_type_id,concept_type_name,concept_is_deprecated,definition_id,definition_content,definition_under_development,definition_originator_reference,definition_document_id,definition_url,definition_description,definition_organization_id,definition_organization_name,definition_is_deprecated,definition_is_default,label_id,label_content,label_originator_reference,label_document_id,label_url,label_description,label_organization_id,label_organization_name,label_is_deprecated,abbreviation_id,abbreviation_content,abbreviation_originator_ref,abbreviation_document_id,abbreviation_url,abbreviation_description,abbreviation_organization_id,abbreviation_organization_name,abbreviation_is_deprecated,plural_id,plural_singular_term_item_id,plural_content,plural_originator_reference,plural_document_id,plural_url,plural_description,plural_organization_id,plural_organization_name,plural_is_deprecated,nain
0161-1#TM-2929082#1,0161-1#09-0000104#1,0161-1#LG-000001#1,en,en,English-United States,data warehouse,"ISO 15926-1:2004(en), 3.1.7 (1000001191)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929118#1,"data warehouse: data store in which related data are merged to provide an integrated set of data containing no duplication or redundancy of information, and which supports many different application viewpoints - ISO 15926-1:2004(en), 3.1.7",,"ISO 15926-1:2004(en), 3.1.7 (1000001191)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929137#1,0161-1#09-0000159#1,0161-1#LG-000001#1,en,en,English-United States,concept,"ISO/TS 29002-10:2009(en), 3.3 (1000004323)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929173#1,"concept: unit of thought - ISO/TS 29002-10:2009(en), 3.3",,"ISO/TS 29002-10:2009(en), 3.3 (1000004323)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929131#1,0161-1#09-0000153#1,0161-1#LG-000001#1,en,en,English-United States,core class,"ISO/TS 15926-8:2011(en), 2.1.3 (1000004297)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929167#1,"core class: class that is a commonly used subdivision corresponding to terms used in common language [ISO 15926-1:2004, definition 3.1.4] - ISO/TS 15926-8:2011(en), 2.1.3",,"ISO/TS 15926-8:2011(en), 2.1.3 (1000004297)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929121#1,0161-1#09-0000143#1,0161-1#LG-000001#1,en,en,English-United States,core class,"ISO/TS 15926-6:2013(en), 3.1.5 (1000004239)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929157#1,"core class: class that is a commonly used subdivision corresponding to terms used in common language - ISO/TS 15926-6:2013(en), 3.1.5",,"ISO/TS 15926-6:2013(en), 3.1.5 (1000004239)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929109#1,0161-1#09-0000131#1,0161-1#LG-000001#1,en,en,English-United States,core class,"ISO/TS 15926-4:2007(en), 3.2.3 (1000004214)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929145#1,"core class: class that is a commonly used subdivision corresponding to terms used in common language - ISO/TS 15926-4:2007(en), 3.2.3",,"ISO/TS 15926-4:2007(en), 3.2.3 (1000004214)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929074#1,0161-1#09-000096#1,0161-1#LG-000001#1,en,en,English-United States,proprietary class,"ISO 15926-1:2004(en), 3.1.16 (1000001181)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929110#1,"proprietary class: class whose specification for membership is owned, controlled, or protected by an organization and is not generally available outside that organization - ISO 15926-1:2004(en), 3.1.16",,"ISO 15926-1:2004(en), 3.1.16 (1000001181)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929135#1,0161-1#09-0000157#1,0161-1#LG-000001#1,en,en,English-United States,object,"ISO/TS 29002-10:2009(en), 3.1 (1000004320)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929171#1,"object: anything perceivable or conceivable - ISO/TS 29002-10:2009(en), 3.1",,"ISO/TS 29002-10:2009(en), 3.1 (1000004320)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929104#1,0161-1#09-0000126#1,0161-1#LG-000001#1,en,en,English-United States,entity,"ISO 8000-8:2015(en), 3.2 (1000003581)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929140#1,"entity: concrete or abstract thing in the domain under consideration - ISO 8000-8:2015(en), 3.2",,"ISO 8000-8:2015(en), 3.2 (1000003581)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929077#1,0161-1#09-000099#1,0161-1#LG-000001#1,en,en,English-United States,commodity product class,"ISO 15926-1:2004(en), 3.1.2 (1000001185)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929113#1,"commodity product class: manufactured product class whose members conform to open agreed standards - ISO 15926-1:2004(en), 3.1.2",,"ISO 15926-1:2004(en), 3.1.2 (1000001185)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929141#1,0161-1#09-0000163#1,0161-1#LG-000001#1,en,en,English-United States,object,"ISO/TS 29002-31:2009(en), 3.8 (1000004338)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929177#1,"object: anything perceivable or conceivable - ISO/TS 29002-31:2009(en), 3.8",,"ISO/TS 29002-31:2009(en), 3.8 (1000004338)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
